path_sparsity,mem_footprint,title_base,m,n,nnz,computed_sparsity,nnz_per_row_avg,nnz_per_row_std,bw_avg_n,nnz_max_diff,num_neigh_avg,cross_row_similarity_avg,GFLOPS-AOCL-k=256,GFLOPS-COO_ColInd0_Vec-k=256,GFLOPS-COO_Hilbert_Seg_NoAtomic-k=256,GFLOPS-COO_RowSplit_Vec-k=256,GFLOPS-COO_Z_Seg_NoAtomic-k=256,GFLOPS-MKL_IE-k=256
0.95,0.15195,body_decoder_layer_1_encdec_attention_multihead_attention_output_transform_fully_connected,512,512,13107,0.9500007629,25.599609375,5.069616896,0.9299850464,0.6015869383,0.1039139391,0.1415981843,245.58,333.05,258.72,290.17,257.46,229.21
0.95,0.15195,body_decoder_layer_1_encdec_attention_multihead_attention_q_fully_connected,512,512,13107,0.9500007629,25.599609375,4.6860247516,0.9255027771,0.7187762264,0.0958266575,0.1440524667,246.62,332.96,251.39,280.65,241.36,218.65
0.95,0.15195,body_decoder_layer_1_encdec_attention_multihead_attention_v_fully_connected,512,512,13107,0.9500007629,25.599609375,4.819175549,0.920841217,0.6015869383,0.0953688869,0.1428485949,229.08,333.05,247.59,281.38,241.22,208.01
0.95,0.60781,body_decoder_layer_1_ffn_conv1_fully_connected,2048,512,52428,0.9500007629,25.599609375,5.0153903609,0.9226198196,0.6797131304,0.1015487907,0.1415766638,414.22,531.58,404.88,443.19,417.33,356.06
0.95,0.60195,body_decoder_layer_1_ffn_conv2_fully_connected,512,2048,52428,0.9500007629,102.3984375,10.1366367109,0.980424881,0.3672083619,0.0976958877,0.1451336729,383.54,599.64,330.31,370.22,326.18,263.62
0.95,0.15195,body_decoder_layer_1_self_attention_multihead_attention_k_fully_connected,512,512,13107,0.9500007629,25.599609375,4.6449989744,0.924697876,0.6406500343,0.1066605631,0.1449915078,240.31,318.35,244.06,279.28,235.23,218.53
0.95,0.15195,body_decoder_layer_1_self_attention_multihead_attention_output_transform_fully_connected,512,512,13107,0.9500007629,25.599609375,4.876786516,0.9264335632,0.6015869383,0.1011673152,0.1417918816,233.73,322.96,237.83,271.79,225.8,208.48
0.95,0.15195,body_decoder_layer_1_self_attention_multihead_attention_q_fully_connected,512,512,13107,0.9500007629,25.599609375,4.8228217075,0.9264411926,0.6797131304,0.1014724956,0.1432747866,237.26,317.34,232.16,272.31,230.52,215.63
0.95,0.15195,body_decoder_layer_1_self_attention_multihead_attention_v_fully_connected,512,512,13107,0.9500007629,25.599609375,4.8414147439,0.9272575378,0.7187762264,0.1074235142,0.1403786642,231.51,315.66,222.86,275.81,216.87,210.83
0.95,0.60781,body_encoder_layer_1_ffn_conv1_fully_connected,2048,512,52428,0.9500007629,25.599609375,4.9478570018,0.9238300323,0.6797131304,0.0981918059,0.1435708386,414.71,574.21,377.13,447.28,402.83,357.83
0.95,0.60195,body_encoder_layer_1_ffn_conv2_fully_connected,512,2048,52428,0.9500007629,102.3984375,9.5670657758,0.9789896011,0.3183794919,0.0994888228,0.142640359,385.79,599.64,322.7,368.01,321.86,260.92
0.95,0.15195,body_encoder_layer_1_self_attention_multihead_attention_k_fully_connected,512,512,13107,0.9500007629,25.599609375,4.8923808593,0.9236946106,0.6797131304,0.1000991836,0.1501728764,294.96,398.95,281.5,336.39,266.08,271.54
0.95,0.15195,body_encoder_layer_1_self_attention_multihead_attention_output_transform_fully_connected,512,512,13107,0.9500007629,25.599609375,5.0068156519,0.9209442139,0.5625238422,0.0941481651,0.1402484022,240.08,319.86,223.5,277.24,226.16,210.31
0.95,0.15195,body_encoder_layer_1_self_attention_multihead_attention_q_fully_connected,512,512,13107,0.9500007629,25.599609375,5.0052550357,0.9251060486,0.8750286107,0.0939955749,0.1450918402,242.54,321.85,233.4,273.24,217.6,205.22
0.95,0.15195,body_encoder_layer_1_self_attention_multihead_attention_v_fully_connected,512,512,13107,0.9500007629,25.599609375,4.7221469399,0.9263763428,0.5234607462,0.0984206912,0.1424452675,240.75,323.1,226.18,277.44,218.59,217.98
